antal_sålda,gata,id
0,"Slutpriser bostäder - Ekedalsgatan, Stockholms kommun",475369
137,"Slutpriser bostäder - Kellgrensgatan, Stockholms kommun",475370
167,"Slutpriser bostäder - Lindhagensterrassen, Stockholms kommun",475371
106,"Slutpriser bostäder - Lustgårdsgatan, Stockholms kommun",475372
161,"Slutpriser bostäder - Ulriksborgsgatan, Stockholms kommun",475373
165,"Slutpriser bostäder - Warfvinges väg, Stockholms kommun",475374
0,"Slutpriser bostäder - Akutvägen, Stockholms kommun",475375
0,"Slutpriser bostäder - Barnslingan, Stockholms kommun",475376
0,"Slutpriser bostäder - Barnstigen, Stockholms kommun",475377
50,"Slutpriser bostäder - Bågljusvägen, Stockholms kommun",475378
196,"Slutpriser bostäder - Drottningholmsvägen, Stockholms kommun",475379
0,"Slutpriser bostäder - Finsens väg, Stockholms kommun",475380
0,"Slutpriser bostäder - Friskvårdsvägen, Stockholms kommun",475381
48,"Slutpriser bostäder - Lilla Västerbron, Stockholms kommun",475382
0,"Slutpriser bostäder - Magnetvägen, Stockholms kommun",475383
53,"Slutpriser bostäder - Mariebergsgatan, Stockholms kommun",475384
0,"Slutpriser bostäder - Mariebergsporten, Stockholms kommun",475385
0,"Slutpriser bostäder - Maskinslingan, Stockholms kommun",475386
0,"Slutpriser bostäder - Patientvägen, Stockholms kommun",475387
20,"Slutpriser bostäder - Rålambshovsleden, Stockholms kommun",475388
0,"Slutpriser bostäder - Sankt Göransplan, Stockholms kommun",475389
0,"Slutpriser bostäder - Vuxenvägen, Stockholms kommun",475390
0,"Slutpriser bostäder - Vårdstigen, Stockholms kommun",475391
0,"Slutpriser bostäder - Vårdvägen, Stockholms kommun",475392
0,"Slutpriser bostäder - Fågelbärsgården, Stockholms kommun",475393
67,"Slutpriser bostäder - Garvar Lundins Gränd, Stockholms kommun",475394
35,"Slutpriser bostäder - Jakob Westinsgatan, Stockholms kommun",475395
28,"Slutpriser bostäder - Kungsholms Hamnplan, Stockholms kommun",475396
164,"Slutpriser bostäder - Norr Mälarstrand, Stockholms kommun",475397
0,"Slutpriser bostäder - Norr Mälarstrands Kajplatser, Stockholms kommun",475398
0,"Slutpriser bostäder - Ragnar Östbergs plan, Stockholms kommun",475399
0,"Slutpriser bostäder - Samuel Owens gata, Stockholms kommun",475400
24,"Slutpriser bostäder - Skillinggränd, Stockholms kommun",475401
88,"Slutpriser bostäder - Garvargatan, Stockholms kommun",475402
205,"Slutpriser bostäder - Hantverkargatan, Stockholms kommun",475403
31,"Slutpriser bostäder - Kungsholmstorg, Stockholms kommun",475404
57,"Slutpriser bostäder - Södra Agnegatan, Stockholms kommun",475405
180,"Slutpriser bostäder - John Ericssonsgatan, Stockholms kommun",475406
233,"Slutpriser bostäder - Pontonjärgatan, Stockholms kommun",475407
270,"Slutpriser bostäder - Bergsgatan, Stockholms kommun",475408
60,"Slutpriser bostäder - Pilgatan, Stockholms kommun",475409
108,"Slutpriser bostäder - Scheelegatan, Stockholms kommun",475410
0,"Slutpriser bostäder - Bolinders plan, Stockholms kommun",475411
27,"Slutpriser bostäder - Kaplansbacken, Stockholms kommun",475412
69,"Slutpriser bostäder - Kungsholms Kyrkoplan, Stockholms kommun",475413
29,"Slutpriser bostäder - Parmmätargatan, Stockholms kommun",475414
174,"Slutpriser bostäder - Pipersgatan, Stockholms kommun",475415
0,"Slutpriser bostäder - Serafimergränd, Stockholms kommun",475416
0,"Slutpriser bostäder - Serafimerstranden, Stockholms kommun",475417
407,"Slutpriser bostäder - Kungsklippan, Stockholms kommun",475418
476,"Slutpriser bostäder - Fleminggatan, Stockholms kommun",475419
141,"Slutpriser bostäder - Kungsbro Strand, Stockholms kommun",475420
299,"Slutpriser bostäder - Kungsholms Strand, Stockholms kommun",475421
0,"Slutpriser bostäder - Kungsholms Strandstig, Stockholms kommun",475422
0,"Slutpriser bostäder - Lennmans Trappgränd, Stockholms kommun",475423
0,"Slutpriser bostäder - Separatorgränd, Stockholms kommun",475424
0,"Slutpriser bostäder - Kungsbroplan, Stockholms kommun",475425
238,"Slutpriser bostäder - Kungsholmsgatan, Stockholms kommun",475426
5,"Slutpriser bostäder - Amarantergränd, Stockholms kommun",475427
0,"Slutpriser bostäder - Amarantertrappan, Stockholms kommun",475428
7,"Slutpriser bostäder - Coldinutrappan, Stockholms kommun",475429
53,"Slutpriser bostäder - Hjärnegatan, Stockholms kommun",475430
64,"Slutpriser bostäder - Norra Agnegatan, Stockholms kommun",475431
151,"Slutpriser bostäder - Wargentinsgatan, Stockholms kommun",475432
108,"Slutpriser bostäder - Celsiusgatan, Stockholms kommun",475433
67,"Slutpriser bostäder - Parkgatan, Stockholms kommun",475434
207,"Slutpriser bostäder - Polhemsgatan, Stockholms kommun",475435
44,"Slutpriser bostäder - Gambrinusgatan, Stockholms kommun",475436
6,"Slutpriser bostäder - Olof Gjödingsgatan, Stockholms kommun",475437
29,"Slutpriser bostäder - Grubbens gata, Stockholms kommun",475438
153,"Slutpriser bostäder - Inedalsgatan, Stockholms kommun",475439
224,"Slutpriser bostäder - Kronobergsgatan, Stockholms kommun",475440
0,"Slutpriser bostäder - Flemingtorget, Stockholms kommun",475441
729,"Slutpriser bostäder - Sankt Eriksgatan, Stockholms kommun",475442
0,"Slutpriser bostäder - Sankt Eriksterrassen, Stockholms kommun",475443
48,"Slutpriser bostäder - Ehrensvärdsgatan, Stockholms kommun",475444
0,"Slutpriser bostäder - Rålambshov, Stockholms kommun",475445
0,"Slutpriser bostäder - Smedsudden, Stockholms kommun",475446
0,"Slutpriser bostäder - Smedsuddsvägen, Stockholms kommun",475447
0,"Slutpriser bostäder - Västerbroplan, Stockholms kommun",475448
0,"Slutpriser bostäder - Västerbrovillan, Stockholms kommun",475449
54,"Slutpriser bostäder - Chapmansgatan, Stockholms kommun",475450
0,"Slutpriser bostäder - Chapmansgården, Stockholms kommun",475451
30,"Slutpriser bostäder - Jaktvarvsplan, Stockholms kommun",475452
13,"Slutpriser bostäder - Mitisgatan, Stockholms kommun",475453
43,"Slutpriser bostäder - Sven Rinmans gata, Stockholms kommun",475454
55,"Slutpriser bostäder - Ture Nermans Gränd, Stockholms kommun",475455
448,"Slutpriser bostäder - Fridhemsgatan, Stockholms kommun",475456
3,"Slutpriser bostäder - Fridhemsplan, Stockholms kommun",475457
210,"Slutpriser bostäder - Karlsviksgatan, Stockholms kommun",475458
173,"Slutpriser bostäder - Sysslomansgatan, Stockholms kommun",475459
119,"Slutpriser bostäder - Baltzar Von Platens gata, Stockholms kommun",475460
135,"Slutpriser bostäder - Gyllenborgsgatan, Stockholms kommun",475461
0,"Slutpriser bostäder - Lindhagensplan, Stockholms kommun",475462
11,"Slutpriser bostäder - Thorildsplan, Stockholms kommun",475463
66,"Slutpriser bostäder - Thorildsvägen, Stockholms kommun",475464
0,"Slutpriser bostäder - Böttigervägen, Stockholms kommun",475465
140,"Slutpriser bostäder - Creutzgatan, Stockholms kommun",475466
82,"Slutpriser bostäder - Geijersvägen, Stockholms kommun",475467
148,"Slutpriser bostäder - Kristinebergsvägen, Stockholms kommun",475468
14,"Slutpriser bostäder - Nicandervägen, Stockholms kommun",475469
0,"Slutpriser bostäder - Stiernhielmsvägen, Stockholms kommun",475470
